Nationality,Name,FullName,Age,Height,Weight,Overall,PreferredFoot,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
Portugal,A. Lopes,Anthony Lopes,31,184,81,82.0,0,2,1,84,78,71,86,63,80
Colombia,L. Muriel,Luis Muriel,31,179,79,82.0,1,4,4,89,83,74,86,27,67
Côte d'Ivoire,W. Zaha,Wilfried Zaha,29,180,66,82.0,1,3,5,91,79,73,86,37,76
Italy,F. Acerbi,Francesco Acerbi,34,192,88,82.0,0,3,3,62,50,64,64,85,78
France,E. Ndicka,Evan Ndicka,22,192,82,81.0,0,3,2,80,51,71,73,81,79
Czech Republic,T. Souček,Tomáš Souček,27,192,86,81.0,1,3,3,57,72,73,72,82,85
Czech Republic,A. Barák,Antonín Barák,27,190,86,81.0,0,3,4,74,79,80,81,65,75
France,M. Terrier,Martin Terrier,25,184,78,81.0,1,3,3,85,81,75,78,36,70
Germany,D. Raum,David Raum,24,180,75,81.0,0,2,3,87,59,77,78,71,77
Mali,Y. Bissouma,Yves Bissouma,25,182,80,81.0,1,3,4,72,68,75,79,80,77
France,A. Areola,Alphonse Areola,29,195,94,81.0,1,3,1,85,79,75,84,55,78
Côte d'Ivoire,I. Sangaré,Ibrahim Sangaré,24,191,77,81.0,1,4,3,66,66,73,75,81,86
Mexico,J. Corona,Jesús Corona,29,173,66,81.0,1,5,5,82,65,80,86,73,67
Denmark,T. Delaney,Thomas Delaney,30,182,79,81.0,0,4,2,72,71,74,73,82,81
France,A. Lacazette,Alexandre Lacazette,31,175,73,81.0,1,4,4,70,81,76,83,44,74
Italy,N. Zaniolo,Nicolò Zaniolo,22,190,75,81.0,0,3,4,87,75,72,82,62,83
Brazil,Neto,Norberto Murara Neto,32,190,84,81.0,1,2,1,82,78,77,80,54,78
France,I. Konaté,Ibrahima Konaté,23,194,95,81.0,1,2,3,78,34,57,67,82,80
Spain,Pedro Porro,Pedro Antonio Porro Sauceda,22,173,69,81.0,1,3,3,82,71,75,80,75,78
Spain,Cucurella,Marc Cucurella Saseta,23,172,66,81.0,0,3,3,76,68,78,80,77,74
Argentina,L. Martínez,Lisandro Martínez,24,178,77,81.0,0,3,3,72,60,76,77,82,83
Brazil,Matheus Cunha,Matheus Santos Carneiro Da Cunha,23,184,75,81.0,1,4,4,84,82,75,84,32,74
Portugal,Pedro Gonçalves,Pedro António Pereira Gonçalves,24,173,77,81.0,1,4,4,76,80,80,84,56,64
Iran,M. Taremi,Mehdi Taremi,29,186,83,81.0,1,4,4,77,80,74,81,38,72
Brazil,Rodrygo,Rodrygo Silva de Goes,21,174,64,81.0,1,4,4,88,76,74,84,32,56
Burkina Faso,E. Tapsoba,Edmond Tapsoba,23,192,84,81.0,1,3,2,70,54,65,70,83,79
Sweden,D. Kulusevski,Dejan Kulusevski,22,186,75,81.0,0,3,4,78,77,79,83,56,76
Brazil,Bruno Guimarães,Bruno Guimarães Moura,24,182,74,81.0,1,2,3,69,67,79,81,76,77
Croatia,J. Gvardiol,Joško Gvardiol,20,185,80,81.0,0,4,3,82,54,69,74,80,83
Germany,J. Musiala,Jamal Musiala,19,183,70,81.0,1,4,4,76,73,75,87,63,60
Nigeria,S. Obisanya,Sam Obisanya,22,185,77,81.0,1,3,3,89,74,78,81,71,73
Spain,Pablo Sarabia,Pablo Sarabia García,30,174,70,81.0,0,4,4,73,76,82,82,57,59
Spain,Marc Bartra,Marc Bartra Aregall,31,184,73,81.0,1,3,3,71,61,73,73,81,74
Brazil,Felipe,Felipe Augusto de Almeida Monteiro,33,190,84,81.0,1,3,2,59,43,59,61,81,83
England,H. Maguire,Harry Maguire,29,194,100,81.0,1,3,2,48,57,68,67,80,84
Brazil,Heberto Gaúcho,Juan Heberto Mestres de Mesquita,26,181,82,81.0,1,3,2,71,61,57,63,82,80
Brazil,Oswaldinato,Marvin Oswaldo Rangel Azevedo,30,184,79,81.0,1,3,2,76,81,67,77,20,78
Brazil,Nailton Padrenda,Nailton Padrenda Mendes,26,180,75,81.0,1,4,2,82,73,77,82,52,70
Brazil,Welington Dano,Welington Kauê Dano Nascimento,22,178,69,81.0,0,4,4,79,54,76,79,75,74
Brazil,Adriano Bisesi,Louri Adriano Bisesi Barbosa,30,188,83,81.0,1,3,4,78,84,62,72,33,71
Brazil,Rosival Dourado,Rosival Jailson Dourado Santos,22,175,70,81.0,1,4,2,77,57,74,77,82,68
Brazil,Adryan Zonta,Adryan Juliano Zonta Torres,30,172,68,81.0,0,4,2,93,66,75,76,72,77
Italy,G. Mancini,Gianluca Mancini,26,190,77,81.0,1,3,2,67,45,50,59,81,87
Argentina,G. Rodríguez,Guido Rodríguez,27,185,80,81.0,1,4,2,51,57,71,68,84,77
France,D. Upamecano,Dayot Upamecano,23,186,90,81.0,1,3,3,82,43,61,68,80,81
Portugal,Palhinha,João Maria Palhinha Gonçalves,26,190,85,81.0,1,4,2,63,65,70,72,82,89
Switzerland,D. Zakaria,Denis Zakaria,25,191,81,81.0,1,3,3,82,64,73,77,80,85
Switzerland,M. Akanji,Manuel Akanji,26,187,91,81.0,1,4,2,77,48,70,74,83,78
Cameroon,A. Zambo Anguissa,André-Franck Zambo Anguissa,26,184,78,81.0,1,3,3,78,68,71,81,80,84
Scotland,K. Tierney,Kieran Tierney,25,178,70,81.0,0,3,3,84,60,75,78,76,79
England,M. Rashford,Marcus Rashford,24,186,70,81.0,1,3,5,87,82,75,81,41,71
Brazil,Richarlison,Richarlison de Andrade,25,181,71,81.0,1,5,4,82,79,72,82,53,79
Brazil,Gabriel,Gabriel dos S. Magalhães,24,190,87,81.0,0,2,2,68,36,60,58,83,80
Armenia,H. Mkhitaryan,Henrikh Mkhitaryan,33,177,75,81.0,1,5,4,82,79,78,83,56,72
Argentina,N. Otamendi,Nicolás Otamendi,34,182,78,81.0,1,3,2,63,57,62,59,83,81
Germany,M. Götze,Mario Götze,30,176,72,81.0,1,4,4,67,74,83,84,55,67
England,C. Smalling,Chris Smalling,32,194,81,81.0,1,3,2,62,47,58,60,83,80
England,N. Pope,Nick Pope,30,199,76,81.0,1,3,1,80,82,75,83,49,80
Italy,Rafael Tolói,Rafael Tolói,31,185,75,81.0,1,3,2,67,52,59,65,82,82
Uruguay,E. Cavani,Edinson Cavani,35,185,77,81.0,1,4,3,61,83,68,72,51,73
Argentina,É. Banega,Éver Banega,34,176,78,81.0,1,4,4,62,74,83,82,75,72
Spain,Adán,Antonio Adán Garrido,35,190,94,81.0,0,3,1,79,82,78,80,55,83
Wales,G. Bale,Gareth Bale,32,185,82,81.0,0,3,4,80,84,81,79,55,69
Belgium,J. Vertonghen,Jan Vertonghen,35,191,89,81.0,0,3,3,69,62,72,67,83,78
Mexico,C. Vela,Carlos Vela,33,177,77,81.0,0,2,4,77,79,76,83,30,64
Portugal,João Moutinho,João Filipe Moutinho,35,170,61,81.0,1,4,3,47,71,84,79,71,66
Portugal,Pepe,Képler Laveran Lima Ferreira,39,187,79,81.0,1,3,2,77,51,60,61,81,87
Argentina,G. Lo Celso,Giovani Lo Celso,26,177,68,81.0,0,3,4,71,75,83,84,68,72
Brazil,Oscar,Oscar dos Santos Emboaba,30,179,70,81.0,1,3,4,79,78,82,83,59,67
England,J. Gomez,Joe Gomez,25,188,77,81.0,1,3,3,80,30,67,69,81,78
Portugal,José Sá,José Pedro Malheiro de Sá,29,192,84,81.0,1,2,1,83,78,73,83,52,79
Spain,Borja Iglesias,Borja Iglesias Quintás,29,187,86,81.0,1,3,3,66,82,65,74,40,81
England,J. Ward-Prowse,James Ward-Prowse,27,173,66,81.0,1,3,3,59,74,86,78,67,73
Argentina,L. Ocampos,Lucas Ocampos,27,188,84,81.0,1,3,4,80,81,77,82,62,83
Bosnia and Herzegovina,E. Višća,Edin Višća,32,172,63,81.0,1,4,4,87,78,78,82,47,64
France,T. Savanier,Téji Savanier,30,172,69,81.0,1,5,4,64,76,84,83,69,68
Sweden,E. Forsberg,Emil Forsberg,30,177,76,81.0,1,4,4,71,73,83,83,35,62
Spain,Lucas Vázquez,Lucas Vázquez Iglesias,31,173,70,81.0,1,4,4,82,73,79,80,73,69
France,G. Laborde,Gaëtan Laborde,28,181,78,81.0,0,4,3,74,81,76,79,40,79
Germany,J. Hofmann,Jonas Hofmann,29,176,73,81.0,1,4,3,73,76,80,80,64,72
Argentina,N. Tagliafico,Nicolás Tagliafico,29,172,65,81.0,0,2,3,80,56,72,75,80,80
Germany,K. Demirbay,Kerem Demirbay,28,183,75,81.0,0,4,4,69,76,81,82,71,72
Greece,O. Vlachodimos,Odisseas Vlachodimos,28,190,81,81.0,1,3,1,84,78,67,84,43,78
Italy,V. Grifo,Vincenzo Grifo,29,180,76,81.0,1,2,4,74,75,80,81,40,63
Germany,R. Andrich,Robert Andrich,27,186,86,81.0,1,4,3,63,76,76,73,79,85
France,R. Le Normand,Robin Le Normand,25,187,81,81.0,1,3,2,63,25,53,58,83,80
Portugal,Ricardo Horta,Ricardo Jorge da Luz Horta,27,173,63,81.0,1,3,3,79,82,79,80,43,70
Slovakia,S. Lobotka,Stanislav Lobotka,27,170,64,81.0,1,4,3,71,68,79,81,73,70
England,K. Phillips,Kalvin Phillips,26,178,72,81.0,1,3,3,66,65,77,76,79,82
Colombia,M. Uribe,Mateus Uribe,31,183,77,81.0,1,4,3,75,76,75,79,80,82
Uruguay,L. Torreira,Lucas Torreira,26,166,60,81.0,1,3,3,72,70,76,80,78,76
Croatia,M. Pašalić,Mario Pašalić,27,188,82,81.0,1,4,4,75,79,76,80,67,77
Guinea,N. Keïta,Naby Keïta,27,172,64,81.0,1,4,4,69,74,76,86,69,68
France,C. Tolisso,Corentin Tolisso,27,181,81,81.0,1,3,3,69,78,77,79,77,77
Mexico,H. Lozano,Hirving Lozano,26,175,70,81.0,1,3,4,93,76,72,82,41,62
Italy,M. Politano,Matteo Politano,28,171,67,81.0,0,4,4,83,77,78,84,42,55
France,A. Saint-Maximin,Allan Saint-Maximin,25,173,67,81.0,1,4,5,90,73,73,88,27,68
Côte d'Ivoire,S. Fofana,Seko Fofana,27,185,74,81.0,1,4,4,73,74,75,80,73,85
Ghana,Iñaki Williams,Iñaki Williams Arthuer,28,186,80,81.0,1,2,4,94,78,72,78,38,83
Argentina,J. Musso,Juan Musso,28,191,93,81.0,1,3,1,82,78,73,86,44,82
France,B. Bourigeaud,Benjamin Bourigeaud,28,178,70,81.0,1,3,3,76,77,83,81,66,76
Morocco,Y. En-Nesyri,Youssef En-Nesyri,25,188,78,80.0,0,3,3,78,80,59,74,35,76
Spain,Javi Galán,Javier Galán Gil,27,172,70,80.0,0,2,3,78,55,74,82,75,71
Germany,F. Neuhaus,Florian Neuhaus,25,185,77,80.0,1,4,3,68,73,79,80,66,67
England,H. Barnes,Harvey Barnes,24,180,66,80.0,1,4,3,86,77,75,81,45,64
Sweden,A. Isak,Alexander Isak,22,192,77,80.0,1,5,4,83,79,68,83,29,68
Colombia,L. Sinisterra,Luis Sinisterra,23,172,60,80.0,1,4,4,89,73,72,85,53,63
Austria,X. Schlager,Xaver Schlager,24,174,78,80.0,0,3,3,67,70,73,77,73,81
Japan,D. Kamada,Daichi Kamada,25,184,76,80.0,1,4,3,74,68,79,83,46,61
Uruguay,M. Arambarri,Mauro Arambarri,26,175,74,80.0,1,3,3,61,64,73,73,78,77
France,A. Lafont,Alban Lafont,23,196,90,80.0,1,3,1,83,77,68,86,47,77
Brazil,Maikel Catarino,Maikel Renan Catarino Fagundes,26,177,75,80.0,1,3,3,76,51,70,77,77,70
Portugal,Renato Sanches,Renato Júnior Luz Sanches,24,176,70,80.0,1,4,4,83,74,77,84,72,84
Brazil,Arthur,Arthur Henrique Ramos Oliveira Melo,25,171,73,80.0,1,3,4,71,65,80,86,72,69
Brazil,Tony Abranjes,Tony Josimar Abranjes Meneses,34,179,80,80.0,1,3,2,67,39,55,58,81,85
Brazil,Laure Santeiro,Laureano Thomas Santeiro Marre,22,171,63,80.0,0,5,4,80,72,77,82,26,45
Brazil,Héniton Pires,Héniton Enaldo Pires Tramontino,26,182,74,80.0,1,3,1,81,75,78,79,41,81
France,M. Guendouzi,Mattéo Guendouzi,23,185,68,80.0,1,3,4,73,66,79,77,77,80
Jamaica,L. Bailey,Leon Bailey,24,178,77,80.0,0,3,4,92,78,74,83,33,61
England,A. Wan-Bissaka,Aaron Wan-Bissaka,24,183,72,80.0,1,2,3,82,50,66,75,78,73
Switzerland,D. Sow,Djibril Sow,25,184,76,80.0,1,4,3,77,69,77,78,77,80
Spain,Mario Hermoso,Mario Hermoso Canseco,27,184,76,80.0,0,3,2,75,49,73,71,81,80
Italy,D. Calabria,Davide Calabria,25,177,70,80.0,1,3,3,79,57,70,74,79,73
Mexico,E. Álvarez,Edson Álvarez,24,187,73,80.0,1,3,2,71,57,67,69,82,86
Netherlands,T. Koopmeiners,Teun Koopmeiners,24,183,77,80.0,0,2,3,70,72,80,76,76,77
France,B. Kamara,Boubacar Kamara,22,184,68,80.0,1,3,3,70,54,71,73,80,79
Ukraine,V. Tsygankov,Viktor Tsygankov,24,178,72,80.0,0,4,4,85,74,78,80,46,59
Serbia,M. Dmitrović,Marko Dmitrović,30,194,94,80.0,0,2,1,77,79,78,81,37,80
England,I. McAdoo,Isaac McAdoo,26,184,89,80.0,1,2,2,63,62,55,56,81,83
Netherlands,J. Frimpong,Jeremie Frimpong,21,171,64,80.0,1,3,3,94,54,73,83,72,70
Portugal,Nuno Mendes,Nuno Alexandre Tavares Mendes,20,176,70,80.0,0,4,3,89,57,73,78,74,73
Netherlands,S. Botman,Sven Botman,22,193,81,80.0,0,3,2,58,37,60,62,80,84
Netherlands,J. Timber,Jurriën Timber,21,179,77,80.0,1,3,3,82,47,67,77,81,81
Brazil,Renan Lodi,Renan Augusto Lodi dos Santos,24,173,68,80.0,0,3,4,83,68,76,80,74,75
Spain,Reguilón,Sergio Reguilón Rodríguez,25,178,68,80.0,0,3,3,83,57,74,78,77,69
Czech Republic,V. Coufal,Vladimír Coufal,29,175,76,80.0,1,3,3,73,56,73,75,78,81
Kosovo,A. Rrahmani,Amir Rrahmani,28,192,83,80.0,1,4,2,61,51,58,61,82,80
Scotland,S. McTominay,Scott McTominay,25,193,88,80.0,1,3,3,63,74,74,75,78,85
Croatia,L. Majer,Lovro Majer,24,178,76,80.0,0,3,4,69,73,81,83,60,67
France,W. Saliba,William Saliba,21,192,85,80.0,1,3,2,78,39,67,71,80,79
Croatia,D. Livaković,Dominik Livaković,27,187,79,80.0,1,2,1,80,76,71,84,56,77
Germany,R. Baku,Ridle Baku,24,176,75,80.0,1,4,3,82,73,73,81,70,78
Argentina,N. González,Nicolás González,24,180,72,80.0,0,2,4,87,73,73,83,45,64
England,E. Smith Rowe,Emile Smith Rowe,21,182,72,80.0,1,4,4,78,71,76,81,32,61
France,J. Clauss,Jonathan Clauss,29,178,69,80.0,1,3,3,84,69,76,78,69,70
United States,W. McKennie,Weston McKennie,23,183,84,80.0,1,3,3,82,74,76,80,78,83
Serbia,N. Milenković,Nikola Milenković,24,195,90,80.0,1,3,2,64,45,62,62,81,83
Morocco,N. Aguerd,Nayef Aguerd,26,188,76,80.0,0,3,2,73,50,64,65,80,77
Portugal,Nélson Semedo,Nélson Cabral Semedo,28,177,69,80.0,1,3,4,83,57,69,80,75,74
Chile,C. Aránguiz,Charles Aránguiz,33,171,69,80.0,1,4,3,46,71,79,77,76,71
Brazil,Lucas Moura,Lucas Rodrigues M. Silva,29,174,70,80.0,1,4,4,89,77,70,85,46,68
Spain,Jonathan Viera,Jonathan Viera Ramos,32,171,67,80.0,1,4,4,80,75,79,81,63,72
Brazil,Danilo,Danilo Luiz da Silva,30,184,78,80.0,1,4,3,72,67,73,74,81,79
Spain,Sergi Roberto,Sergio Roberto Carnicer,30,178,68,80.0,1,3,3,74,63,79,77,75,72
Brazil,Allan,Allan Marques Loureiro,31,175,74,80.0,1,3,4,70,69,73,79,79,77
Netherlands,J. Cillessen,Jasper Cillessen,33,185,83,80.0,1,3,1,80,79,78,76,54,80
Belgium,H. Vanaken,Hans Vanaken,29,195,80,80.0,1,5,4,44,79,81,76,59,74
Germany,S. Ortega,Stefan Ortega,29,185,88,80.0,1,4,1,76,74,86,85,52,80
Portugal,Danilo Pereira,Danilo Luís Hélio Pereira,30,188,83,80.0,1,3,3,56,63,70,71,79,85
Spain,Morata,Álvaro Borja Morata Martín,29,190,84,80.0,1,4,3,80,78,72,78,31,77
England,L. Shaw,Luke Shaw,26,181,75,80.0,0,2,3,76,54,78,78,79,78
Italy,C. Biraghi,Cristiano Biraghi,29,185,78,80.0,0,3,3,76,69,78,77,77,76
England,E. Dier,Eric Dier,28,188,90,80.0,1,2,2,54,64,70,65,80,84
Spain,Deulofeu,Gerard Deulofeu Lázaro,28,177,73,80.0,1,4,4,90,79,75,83,30,66
Belgium,T. Hazard,Thorgan Hazard,29,175,71,80.0,1,4,4,75,76,79,83,53,65
Czech Republic,T. Vaclík,Tomáš Vaclík,33,188,85,80.0,1,3,1,78,75,74,83,40,82
Spain,Edgar Badia,Edgar Badia Guardiola,30,180,70,80.0,1,3,1,78,77,77,83,44,78
France,K. Zouma,Kurt Zouma,27,190,95,80.0,1,3,2,62,51,62,56,80,84
Austria,M. Sabitzer,Marcel Sabitzer,28,178,76,80.0,1,4,3,72,81,79,79,66,76
Slovenia,K. Kampl,Kevin Kampl,31,178,66,80.0,1,4,3,69,66,81,83,62,62
Algeria,A. Delort,Andy Delort,30,181,83,80.0,1,3,3,82,81,72,75,37,82
Germany,B. Leno,Bernd Leno,30,190,83,80.0,1,3,1,82,78,74,82,55,79
Brazil,Alex Sandro,Alex Sandro Lobo Silva,31,180,80,80.0,0,3,3,76,65,73,78,76,78
Spain,Yeray,Yeray Álvarez López,27,182,79,80.0,1,3,2,65,49,63,64,82,77
Mexico,G. Ochoa,Guillermo Ochoa,36,185,78,80.0,1,3,1,82,73,70,84,50,81
Mexico,H. Herrera,Héctor Herrera,32,185,78,80.0,1,4,3,66,75,76,76,76,82
Italy,A. Consigli,Andrea Consigli,35,189,82,80.0,1,3,1,80,81,71,81,42,78
Spain,Raúl García,Raúl García Escudero,35,184,83,80.0,1,3,3,35,83,82,78,59,84
Portugal,José Fonte,José Miguel da Rocha Fonte,38,191,81,80.0,1,3,2,31,46,62,62,82,80
Slovakia,M. Hamšík,Marek Hamšík,34,183,73,80.0,1,5,4,64,77,82,80,71,71
Italy,A. Candreva,Antonio Candreva,35,180,70,80.0,1,4,4,70,79,80,81,61,62
Belgium,S. Mignolet,Simon Mignolet,34,193,87,80.0,1,3,1,80,74,74,85,51,83
Spain,Joselu,José Luis Sanmartín Mato,32,192,80,80.0,1,3,3,63,81,69,73,31,76
Colombia,D. Ospina,David Ospina,33,183,80,80.0,1,3,1,81,76,77,82,34,80
France,E. Capoue,Etienne Capoue,33,190,80,80.0,1,3,3,53,73,78,75,79,78
Netherlands,G. Wijnaldum,Georginio Wijnaldum,31,175,74,80.0,1,4,3,69,71,77,80,77,78
Germany,M. Kruse,Max Kruse,34,180,76,80.0,0,4,4,51,81,81,82,40,64
Italy,M. Darmian,Matteo Darmian,32,182,70,80.0,1,5,3,71,59,70,76,81,69
France,F. Coquelin,Francis Coquelin,31,176,74,80.0,1,4,3,68,68,78,79,78,80
Netherlands,D. Blind,Daley Blind,32,180,72,80.0,0,3,3,42,62,82,79,81,70
Italy,A. Cragno,Alessio Cragno,28,184,78,80.0,1,3,1,82,79,73,83,39,77
Switzerland,R. Freuler,Remo Freuler,30,181,80,80.0,1,3,4,68,71,75,78,75,74
Germany,M. Arnold,Maximilian Arnold,28,184,74,80.0,0,2,3,65,80,78,78,76,75
Sweden,V. Lindelöf,Victor Lindelöf,27,187,80,80.0,1,4,3,59,51,72,72,82,76
Spain,Álex Moreno,Alexandre Moreno Lopera,29,179,68,80.0,0,3,3,88,68,73,76,75,69
Germany,M. Dahoud,Mahmoud Dahoud,26,178,68,80.0,1,4,4,70,69,77,85,67,70
Argentina,J. Ledesma,Jeremías Conan Ledesma,29,186,83,80.0,1,2,1,82,77,72,83,46,78
Mali,H. Traoré,Hamari Traoré,30,175,70,80.0,1,3,3,83,57,72,76,75,78
Croatia,A. Rebić,Ante Rebić,28,185,78,80.0,1,4,4,86,80,74,81,48,80
Netherlands,H. Hateboer,Hans Hateboer,28,185,72,80.0,1,3,3,82,64,71,77,77,76
Spain,Kepa,Kepa Arrizabalaga,27,186,88,80.0,1,4,1,79,78,85,82,34,77
England,D. Calvert-Lewin,Dominic Calvert-Lewin,25,187,71,80.0,1,2,3,81,77,64,76,39,80
Germany,L. Klostermann,Lukas Klostermann,26,189,88,80.0,1,3,2,86,50,64,71,82,78
Argentina,J. Correa,Joaquín Correa,27,189,75,80.0,1,4,4,84,75,76,84,39,69
Netherlands,R. Karsdorp,Rick Karsdorp,27,184,80,80.0,1,3,3,85,63,74,77,75,79
Spain,Joan Jordán,Joan Jordán Moreno,27,183,74,80.0,1,4,3,59,75,81,76,68,75
England,J. Bowen,Jarrod Bowen,25,175,70,80.0,0,3,4,78,77,75,81,44,66
Spain,Álex Berenguer,Alejandro Berenguer Remiro,26,175,73,80.0,1,4,3,81,76,76,82,64,64
Netherlands,S. Bergwijn,Steven Bergwijn,24,178,78,80.0,1,2,4,86,78,75,83,42,70
Argentina,E. Buendía,Emiliano Buendía,25,172,72,80.0,1,4,4,71,74,81,83,66,70
Turkey,U. Çakır,Uğurcan Çakır,26,191,82,80.0,1,3,1,80,77,72,82,54,81
Italy,G. Scamacca,Gianluca Scamacca,23,195,85,80.0,1,3,4,73,80,66,74,36,74
Spain,Morales,José Luis Morales Nogales,34,180,70,80.0,1,4,4,83,81,74,82,52,67
Slovakia,M. Dúbravka,Martin Dúbravka,33,190,80,80.0,1,2,1,78,76,79,81,46,77
Argentina,W. Benítez,Walter Benítez,29,191,93,80.0,1,2,1,80,79,72,83,48,80
Argentina,L. Paredes,Leandro Paredes,28,180,75,80.0,1,4,4,64,71,82,78,76,78
Iran,S. Azmoun,Sardar Azmoun,27,186,82,80.0,1,4,3,78,77,70,78,40,73
Portugal,William Carvalho,William Silva de Carvalho,30,187,79,80.0,1,4,3,35,65,77,73,75,84
Italy,B. Cristante,Bryan Cristante,27,186,80,80.0,1,4,3,54,73,77,75,77,78
Spain,Saúl,Saúl Ñíguez Esclápez,27,184,75,80.0,0,4,3,69,76,77,79,78,76
Netherlands,M. de Roon,Marten de Roon,31,185,76,80.0,1,3,3,70,68,70,71,82,83
Italy,A. Belotti,Andrea Belotti,28,181,84,80.0,1,5,3,74,80,58,76,38,83
Brazil,Fred,Frederico de Paula Santos,29,169,62,80.0,0,3,4,76,67,79,81,75,71
Germany,C. Günter,Christian Günter,29,184,83,80.0,0,2,3,80,58,71,71,75,82
France,A. Rabiot,Adrien Rabiot,27,192,80,80.0,0,3,3,75,73,76,79,76,79
Portugal,Rui Silva,Rui Tiago Dantas da Silva,28,191,91,80.0,1,3,1,81,76,75,83,31,82
Italy,A. Romagnoli,Alessio Romagnoli,27,185,75,80.0,0,3,2,66,40,55,67,83,77
Spain,Carles Gil,Carles Gil Pareja,29,170,65,80.0,0,4,4,71,70,81,80,39,64
France,A. Martial,Anthony Martial,26,184,76,80.0,1,4,4,83,79,72,84,35,66
France,M. Dembélé,Moussa Dembélé,25,183,79,80.0,1,3,3,72,79,64,74,30,79
Netherlands,M. Flekken,Mark Flekken,29,195,87,80.0,1,4,1,80,76,81,82,31,79
Brazil,Alex Telles,Alex Nicolao Telles,29,181,71,80.0,0,2,3,79,74,81,77,75,71
France,A. Gouiri,Amine Gouiri,22,181,83,79.0,1,3,4,78,81,76,80,45,69
Serbia,N. Maksimović,Nemanja Maksimović,27,189,78,79.0,1,3,3,51,72,75,74,77,77
Spain,Unai Núñez,Unai Núñez Gestoso,25,186,81,79.0,1,2,2,70,24,51,52,79,78
Turkey,O. Kökçü,Orkun Kökçü,21,175,68,79.0,1,5,3,72,71,81,79,65,76
Nigeria,A. Nwakaeme,Anthony Nwakaeme,33,185,80,79.0,1,4,4,75,77,76,81,39,80
Spain,Luis Milla,Luis Milla Manzanares,27,175,67,79.0,1,3,3,70,70,76,74,75,74
Netherlands,T. Malacia,Tyrell Malacia,22,169,67,79.0,0,3,3,85,56,66,77,76,76
Canada,J. David,Jonathan David,22,180,77,79.0,1,5,3,83,79,71,77,33,71
England,C. Gallagher,Conor Gallagher,22,182,77,79.0,1,2,3,74,76,75,78,67,74
Chile,A. Sánchez,Alexis Sánchez,33,168,62,79.0,1,4,4,72,77,78,83,43,67
Ecuador,P. Estupiñán,Pervis Estupiñán,24,175,78,79.0,0,3,3,81,46,69,72,75,76
Argentina,J. Foyth,Juan Foyth,24,187,69,79.0,1,3,3,72,46,69,72,80,77
Korea Republic,Kim Min Jae,Min Jae Kim,25,190,81,79.0,1,3,2,80,33,57,62,79,84
Hungary,D. Szoboszlai,Dominik Szoboszlai,21,186,74,79.0,1,4,4,77,79,81,80,34,64
Brazil,David Neres,David Neres Campos,25,176,71,79.0,0,3,5,85,72,73,83,37,64
Italy,A. Ogbonna,Angelo Ogbonna,34,191,86,79.0,0,3,2,49,40,60,62,82,68
Germany,J. Boateng,Jérôme Boateng,33,190,94,79.0,1,4,2,47,49,73,66,80,74
France,Y. Fofana,Youssouf Fofana,23,176,69,79.0,1,3,3,68,67,74,76,75,77
Germany,L. Stindl,Lars Stindl,33,181,80,79.0,1,4,4,55,79,79,79,60,74
Portugal,Luís Maximiano,Luís Manuel Arantes Maximiano,23,190,82,79.0,1,2,1,78,76,68,82,55,76
Spain,Diego López,Diego López Rodríguez,40,196,89,79.0,1,3,1,76,80,68,76,44,81
Netherlands,R. Gravenberch,Ryan Gravenberch,20,190,77,79.0,1,4,4,77,76,78,83,68,72
Spain,Ansu Fati,Anssumane Fati,19,178,66,79.0,1,4,4,88,77,72,82,30,53
Spain,Pedro,Pedro Rodríguez Ledesma,34,169,65,79.0,1,5,4,73,74,76,86,36,51
England,G. Goodman,George Goodman,29,180,70,79.0,0,3,3,83,55,74,78,75,66
England,M. Bumbercatch,Moe Bumbercatch,25,174,65,79.0,1,5,3,87,61,78,81,72,61
Spain,Gavi,Pablo Martín Páez Gavira,17,173,68,79.0,1,3,3,76,64,77,83,65,67
Spain,Yeremy Pino,Yeremy Jesús Pino Santos,19,172,60,79.0,1,4,3,77,73,76,79,38,45
Portugal,Gonçalo Inácio,Gonçalo Bernardo Inácio,20,185,78,79.0,0,2,2,80,36,61,61,80,77
Portugal,Vitinha,Vítor Machado Ferreira,22,172,64,79.0,1,3,3,73,68,79,83,67,55
Portugal,Matheus Nunes,Matheus Luiz Nunes,23,183,76,79.0,1,3,3,82,71,73,82,74,76
Italy,G. Raspadori,Giacomo Raspadori,22,172,69,79.0,1,5,4,81,78,68,81,27,58
Nigeria,S. Chukwueze,Samuel Chukwueze,23,172,70,79.0,0,2,4,89,74,70,84,36,63
Libya,A. Musrati,Ali Musrati,26,189,83,79.0,1,2,2,58,61,70,70,78,83
Portugal,Beto,Norberto Gomes Betuncal,24,194,88,79.0,1,3,3,87,79,58,74,24,81
France,W. Fofana,Wesley Fofana,21,190,76,79.0,1,3,2,75,37,55,64,81,76
France,E. Camavinga,Eduardo Camavinga,19,182,68,79.0,0,3,4,76,66,78,81,76,78
Spain,Zubimendi,Martín Zubimendi Ibáñez,23,181,74,79.0,1,4,3,59,64,74,74,79,70
Brazil,Ibañez,Roger Ibañez Da Silva,23,185,73,79.0,1,2,2,82,32,45,58,81,79
France,M. Caqueret,Maxence Caqueret,22,174,63,79.0,1,3,3,73,58,73,81,75,68
Senegal,B. Dia,Boulaye Dia,25,180,75,79.0,1,3,3,83,78,62,76,27,76
